timestamp,game_id,event,level_logged,round_backend,attempts_so_far,restart_attempts,bricks_destroyed_curr,paddle_hits_curr,points_curr,total_points
2025-04-17 19:51:04,0,crash,-,0,1,0,0,0,0,0
2025-04-17 19:51:46,0,ctrl_c,-,0,1,0,0,0,0,0
2025-04-17 19:54:50,0,ctrl_c,-,0,1,0,0,0,0,0
2025-04-17 20:02:06,0,ctrl_c,-,0,26,0,0,1,0,14
2025-04-17 20:07:27,0,ctrl_c,-,0,29,0,0,0,0,14
2025-04-17 20:08:17,0,ctrl_c,-,0,3,0,1,1,1,1
2025-04-17 20:11:14,0,quit_button,-,0,11,0,0,0,0,1
2025-04-17 20:12:41,0,quit_button,-,0,10,0,1,1,1,5
2025-04-17 20:13:51,0,quit_button,-,0,4,0,1,1,1,1
2025-04-17 20:17:25,0,ctrl_c,-,0,51,0,0,0,0,20
2025-04-17 20:20:04,0,quit_button,-,0,32,0,0,0,0,7
2025-04-17 20:27:00,0,ctrl_c,-,0,31,0,0,0,0,5
2025-04-17 20:54:34,0,quit_button,-,0,12,0,0,0,0,2
2025-04-17 22:15:16,0,crash,-,0,1,0,0,0,0,0
2025-04-17 22:24:56,0,crash,-,0,1,0,0,0,0,0
2025-04-18 12:37:22,0,quit_button,-,0,17,0,0,0,0,2
2025-04-18 12:42:12,0,crash,-,0,2,0,0,0,0,0
2025-04-18 12:43:44,0,crash,-,0,2,0,0,0,0,0
2025-04-18 12:44:43,0,crash,-,0,2,0,0,0,0,0
2025-04-18 12:47:19,0,quit_button,-,0,38,0,1,1,1,20
2025-04-18 13:01:43,0,crash,-,0,2,0,1,1,0,1
2025-04-18 14:37:29,0,level_complete,1,0,2459,0,30,35,34,3313
2025-04-18 14:40:59,0,level_complete,2,1,2499,0,30,25,55,3654
2025-04-18 14:42:54,0,level_complete,3,2,2536,0,30,15,202,4384
2025-04-18 16:48:32,0,close_called,-,0,2,0,0,0,0,0
2025-04-18 16:49:07,0,close_called,-,0,2,0,1,1,0,1
2025-04-18 16:49:27,0,close_called,-,0,2,0,0,0,0,0
2025-04-18 17:31:35,0,crash,-,0,134,0,1,1,0,47
2025-04-19 23:57:41,0,crash,-,0,4121,0,3,95,3,1525
2025-04-20 13:09:01,0,crash,-,0,2,0,0,0,0,0
2025-04-20 13:09:47,0,crash,-,0,2,0,0,0,0,0
2025-04-20 13:10:10,0,crash,-,0,2,0,0,0,0,0
2025-04-29 01:27:13,0,crash,-,0,2,0,0,0,0,0
2025-04-29 01:29:18,0,quit_button,-,0,19,0,0,0,0,6
2025-04-30 09:45:55,0,quit_button,-,0,19,0,0,0,0,6
2025-04-30 09:56:46,0,crash,-,0,2,0,0,0,0,0
2025-04-30 09:58:50,0,crash,-,0,2,0,0,0,0,0
2025-04-30 09:59:26,0,crash,-,0,2,0,0,0,0,0
2025-04-30 10:00:43,0,crash,-,0,2,0,0,0,0,0
2025-04-30 10:03:34,0,quit_button,-,0,10,0,0,0,0,0
2025-05-02 17:57:40,0,quit_button,-,0,9,0,0,1,0,2
2025-05-02 18:04:29,0,quit_button,-,0,69,0,0,0,0,31
2025-05-02 18:56:39,0,quit_button,-,0,58,0,0,0,0,13
2025-05-02 22:51:08,0,quit_button,-,0,13,0,0,0,0,3
