timestamp,game_id,event,level_logged,round_backend,attempts_so_far,restart_attempts,bricks_destroyed_curr,paddle_hits_curr,points_curr,total_points
2025-04-17 19:09:45,0,quit_button,-,1,6,0,5,4,8,9
2025-04-17 19:09:56,0,ctrl_c,-,0,2,0,0,0,0,0
2025-04-17 19:10:10,0,quit_button,-,2,6,0,0,0,0,1
2025-04-17 19:10:28,0,close_called,-,3,8,0,0,0,0,5
2025-04-17 19:10:50,0,close_called,-,4,14,0,0,0,0,85
2025-04-17 19:10:56,0,close_called,-,4,3,0,0,1,0,1
2025-04-17 19:11:10,0,close_called,-,5,4,0,0,0,0,4
2025-04-17 19:11:57,0,close_called,-,6,13,0,0,1,0,189
2025-04-17 19:55:03,0,ctrl_c,-,0,1,0,0,0,0,0
2025-04-17 21:26:54,0,ctrl_c,-,0,382,0,11,796,12,349
2025-04-17 21:27:05,0,ctrl_c,-,0,255,0,3,722,3,229
2025-04-17 21:27:17,0,quit_button,-,0,1,0,0,0,0,0
2025-04-17 21:30:04,0,ctrl_c,-,0,144,0,3,395,3,78
2025-04-17 21:30:24,0,ctrl_c,-,0,174,0,3,1486,3,109
