timestamp,game_id,event,level_logged,current_level,attempts_so_far,restart_attempts,total_bricks_destroyed,total_paddle_hits,points_curr,total_points
2025-04-18 10:17:16,0,training_run_ep 500,-,1,501,0,138,215,0,140
2025-04-18 10:17:24,0,training_run_ep 1000,-,1,1001,0,539,601,0,594
2025-04-18 10:17:32,0,training_run_ep 1500,-,1,1501,0,969,999,0,1069
2025-04-18 10:17:41,0,training_run_ep 2000,-,1,2001,0,1442,1447,0,1598
2025-04-18 10:17:49,0,training_run_ep 2500,-,1,2501,0,1899,1871,0,2096
2025-04-18 10:17:59,0,training_run_ep 3000,-,1,3001,0,2539,2458,0,2823
2025-04-18 10:18:08,0,training_run_ep 3500,-,1,3501,0,3116,2963,0,3485
2025-04-18 10:18:18,0,training_run_ep 4000,-,1,4001,0,3713,3504,0,4146
2025-04-18 10:18:29,0,training_run_ep 4500,-,1,4501,0,4459,4200,0,4961
2025-04-18 10:18:47,0,training_run_ep 5000,-,1,5001,0,5726,5357,0,6464
2025-04-18 10:18:59,0,training_run_ep 5500,-,1,5501,0,6659,6198,0,7523
2025-04-18 10:19:13,0,training_run_ep 6000,-,1,6001,0,7767,7272,0,8809
2025-04-18 10:19:27,0,training_run_ep 6500,-,1,6501,0,8647,8147,0,9772
2025-04-18 10:19:41,0,training_run_ep 7000,-,1,7001,0,9897,9302,0,11206
2025-04-18 10:20:04,0,training_run_ep 7500,-,1,7501,0,11795,11158,0,13407
2025-04-18 10:20:27,0,training_run_ep 8000,-,1,8001,0,13508,12921,0,15445
2025-04-18 10:20:46,0,training_run_ep 8500,-,1,8501,0,14769,14104,0,16912
2025-04-18 10:20:59,0,training_run_ep 9000,-,1,9001,0,15607,14918,0,17815
2025-04-18 10:21:16,0,training_run_ep 9500,-,1,9501,0,16628,15852,0,18947
2025-04-18 10:22:42,0,training_run_ep 10000,-,1,10001,0,18273,22961,0,20802
2025-04-18 10:23:06,0,training_run_ep 10500,-,1,10501,0,20018,24614,0,22836
2025-04-18 10:23:26,0,training_run_ep 11000,-,1,11001,0,21551,26006,0,24603
2025-04-18 10:23:54,0,training_run_ep 11500,-,1,11501,0,23762,28272,0,27183
2025-04-18 10:24:13,0,level_complete,1,1,11793,0,25350,29819,37,29035
2025-04-18 10:24:19,0,level_complete,2,2,11861,0,25916,30404,47,29873
