timestamp,game_id,event,level_logged,current_level,attempts_so_far,restart_attempts,total_bricks_destroyed,total_paddle_hits,points_curr,total_points
2025-04-19 22:20:16,0,training_run_ep 500,-,1,501,0,92,90,0,94
2025-04-19 22:20:19,0,training_run_ep 1000,-,1,1001,0,281,275,0,295
2025-04-19 22:20:23,0,training_run_ep 1500,-,1,1501,0,510,507,0,528
2025-04-19 22:20:27,0,training_run_ep 2000,-,1,2001,0,729,728,0,755
2025-04-19 22:20:32,0,training_run_ep 2500,-,1,2501,0,1099,1064,0,1177
2025-04-19 22:20:38,0,training_run_ep 3000,-,1,3001,0,1549,1500,0,1677
2025-04-19 22:20:44,0,training_run_ep 3500,-,1,3501,0,2123,2069,0,2296
2025-04-19 22:21:03,0,training_run_ep 4000,-,1,4001,0,2884,4194,0,3121
2025-04-19 22:21:12,0,training_run_ep 4500,-,1,4501,0,3699,4986,0,4022
2025-04-19 22:21:21,0,training_run_ep 5000,-,1,5001,0,4690,5945,0,5117
2025-04-19 22:21:31,0,training_run_ep 5500,-,1,5501,0,5624,6843,0,6162
2025-04-19 22:21:41,0,training_run_ep 6000,-,1,6001,0,6709,7916,0,7385
2025-04-19 22:21:53,0,training_run_ep 6500,-,1,6501,0,7969,9134,0,8803
2025-04-19 22:22:04,0,training_run_ep 7000,-,1,7001,0,9108,10234,0,10115
2025-04-19 22:22:13,0,training_run_ep 7500,-,1,7501,0,10096,11173,0,11190
2025-04-19 22:22:24,0,training_run_ep 8000,-,1,8001,0,11192,12264,0,12425
2025-04-19 22:22:33,0,training_run_ep 8500,-,1,8501,0,12210,13212,0,13559
2025-04-19 22:22:43,0,training_run_ep 9000,-,1,9001,0,13369,14271,0,14912
2025-04-19 22:22:54,0,training_run_ep 9500,-,1,9501,0,14562,15396,0,16288
2025-04-19 22:23:04,0,training_run_ep 10000,-,1,10001,0,15631,16404,0,17488
2025-04-19 22:23:18,0,training_run_ep 10500,-,1,10501,0,16992,17893,0,18997
2025-04-19 22:24:06,0,training_run_ep 11000,-,1,11001,0,18165,23311,0,20311
